Leg,Trap,Replicate,Outcome,Species,Age,comment
BB1l,Sauv120,1,0,BB,Adult,
BB1l,Sauv120,2,0,BB,Adult,pic1
BB1l,Sauv120,3,0,BB,Adult,
BB1l,Sauv120,4,0,BB,Adult,
BB1l,Sauv120,5,1,BB,Adult,
BB1l,Sauv120,6,0,BB,Adult,
GB1r,Sauv160,1,0,GB,Adult,
GB1r,Sauv160,2,0,GB,Adult,
GB1r,Sauv160,3,0,GB,Adult,
GB1r,Sauv160,4,0,GB,Adult,
GB1r,Sauv160,5,0,GB,Adult,
GB1l,Bel120,1,0,GB,Adult,
GB1l,Bel120,2,0,GB,Adult,
GB1l,Bel120,3,0,GB,Adult,
GB1l,Bel120,4,0,GB,Adult,
GB1l,Bel120,5,0,GB,Adult,
BBR2,North155,1,1,BB,Adult,
BBR2,North155,2,1,BB,Adult,
BBR2,North155,3,1,BB,Adult,
BBR2,North155,4,0,BB,Adult,
BBR2,North155,5,0,BB,Adult,
GBcub1,Sauv120,1,0,GB,Cub,
GBcub1,Sauv120,2,0,GB,Cub,
GBcub1,Sauv120,3,0,GB,Cub,
Gbcub2,Sauv160,1,0,GB,Cub,
Gbcub2,Sauv160,2,0,GB,Cub,
Gbcub2,Sauv160,3,0,GB,Cub,
Gbcub2,Sauv160,4,0,GB,Cub,
Gbcub2,Sauv160,5,0,GB,Cub,
GBcub1,Sauv120,1,0,GB,Cub,
GBcub1,Sauv120,2,1,GB,Cub,
GBcub1,Sauv120,3,1,GB,Cub,
GBcub1,Sauv120,4,1,GB,Cub,
GBcub1,Sauv120,5,1,GB,Cub,
Gbcub2,Sauv160,3,0,GB,Cub,
GB1r,North155,1,0,GB,Adult,
GB1r,North155,2,0,GB,Adult,
GB1r,North155,3,1,GB,Adult,
GB1r,North155,4,1,GB,Adult,
GB1r,North155,5,1,GB,Adult,
GBcub1,North155,1,1,GB,Cub,
GBcub1,North155,2,1,GB,Cub,
GBcub1,North155,3,1,GB,Cub,
GBcub1,North155,4,1,GB,Cub,
GBcub1,North155,5,1,GB,Cub,
GBcub1,Bel120,1,1,GB,Cub,
GBcub1,Bel120,2,1,GB,Cub,
GBcub1,Bel120,3,1,GB,Cub,
GBcub1,Bel120,4,1,GB,Cub,
GBcub1,Bel120,5,1,GB,Cub,